"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"715836543462744064","715835099451957248","3138788114","2016-04-01 09:41:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dvddog @sayanghwa 근본은 어디 가지 않음이야... https://t.co/19jLiyhxii","","","","http://twitter.com/kanokara/status/715836543462744064/photo/1"
"715834257659269122","715826192260145154","1696420058","2016-04-01 09:32:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sayanghwa 철학과 가서 91년생 김현산 씨를 찾아보세요. 머리숱 없고 목소리 가는 사람이 바로 그 분. 조용히 귓가에 대고 ""유헌화 씨? 내가 판갤러 쿠 아무개라 하는데…(소근소근)"" #폭로","","","",""
"715822430254669824","715725288018026496","1696420058","2016-04-01 08:45:41 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sayanghwa 읽는 김에 언해본 만들어서 올리면 되잖아요 (철썩)","","","",""
"715816205639151621","715813865792135168","3255599052","2016-04-01 08:20:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sayanghwa 웰메이드 작품인 건 분명하지만, 동 작가의 건달의 제국이 순수한 엔터테인먼트인 것에 비해서 던전 디펜스는 작가성이 깊게 스며든 작품인데, 문제는 그 작가성이 눈에 안 차거든요. 저와 충돌하는 부분이 커서. 차라리 건제 쪽을 추천해요","","","",""
"715813865792135168","715799294364815360","1696420058","2016-04-01 08:11:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sayanghwa 음, 글쎄요? 평론만 아니면 제가 이걸 계속 읽을 일은 없었을 거 같은데 (...","","","",""
"715796743191982081","","","2016-04-01 07:03:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","한글을 배울 때 붓글씨 쓸 일도 없는데 왜 쓸데없는 '삐침'을 가르쳤던 걸까... 지금 보는 모니터에는 삐침이 없이 한글이 출력되지만, 이 편이 깔끔한데.","","","",""
"715794875879436290","715793313832501248","3255599052","2016-04-01 06:56:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","그러면서도 이 연출이 '캡쳐'당해서 비판자들에게 비판당할 방식이 배제된 채 성립했다는 점도 흥미롭달까. 거리재기를 잘한다는 인상.","","","",""
"715793313832501248","","","2016-04-01 06:49:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","던디 2권 독료. 단순히 포맷뿐만이 아닌, '페이지'라는 주어진 물성을 최대한으로 이용하는 방식이 훌륭하네요. 글자수 조절을 철저히 했을 게 느껴지고.","","","",""
"715772477637586944","715771032154542080","3255599052","2016-04-01 05:27:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""新版は対談とインタビューーが新しく追加されています。 虐殺器官は円成塔との対談ハーモニーでは佐々木敦のインタビューとなっています。"" (2014年8月)
@dvddog","","","",""
"715771032154542080","715770546080903173","3255599052","2016-04-01 05:21:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""kindle版には、伊藤計劃と円城塔の対談、翻訳家の大森望による解説、伊藤計劃の作品リストがふくまれていません。それらを読みたい方は紙の書籍を購入することをオススメします。"" (2015年2月)
@dvddog","","","",""
"715770546080903173","715754930628329472","3255599052","2016-04-01 05:19:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""この新装版には、巻末の解説に加えて生前の伊藤氏と円城塔氏の対談、2014年7月現在の「伊藤計劃作品リスト」が新たに収録されています。伊藤氏と円城氏の対談は、お互いの文章作法を窺い知れる内容になっています。"" (2014年9月) @dvddog","","","",""
"715760103870345217","","","2016-04-01 04:38:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","그런데 학살기관은 영원히 '코마츠 사쿄 상 낙선작'이란 꼬리표를 달고 가는 건가...","","","",""
"715755600219611136","715755192986255361","3138788114","2016-04-01 04:20:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dvddog 공의 경계랑 같은 과의 작품이라고 생각해요, 정말로.","","","",""
"715754930628329472","715754103188533248","3255599052","2016-04-01 04:17:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""大森望による巻末解説"" (2010年8月) @dvddog","","","",""
"715754103188533248","715751344368254976","3255599052","2016-04-01 04:14:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""「あとがき」に、この作品を小松左京賞の選外としたときの小松左京氏の選評の一部が載っていますが、この作品のいい点も足りない点も、そこに言い尽くされていると思います。いい点に賛同すれば☆５つとなり、足りない点が気になれば☆２つとなる"" (2010年9月)
@dvddog","","","",""
"715751344368254976","715749837321465856","3138788114","2016-04-01 04:03:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dvddog (철썩)","","","",""
"715749155923046400","715187418467401729","3255599052","2016-04-01 03:54:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","어라? 정문으로 들어갔더니 inven이란 광고 사이트로 리다이렉트 안 되네요. 피싱이었나...
@dvddog","","","",""
"715747596153663492","","3138788114","2016-04-01 03:48:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dvddog 학살기관도 버전이 여러 차례 바뀌면서 간행됐는데, 그 과정에서 대담이나 인터뷰 같은 수록분이 바뀌었나 그대로인가, 에 대한 정보 모르세요? 검색해도 잘 안 보여서요.","","","",""
"715744561822171137","","","2016-04-01 03:36:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","잘 생각해보니까 학살기관 5만 원에 팔고 일본판 사면 남는 장사 같네요 (...","","","",""
"715708315674628097","715707985763258369","3255599052","2016-04-01 01:12:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","노블엔진이 드디어 미쳐버린... (좋은 의미)","","","",""
"715707985763258369","715707758419451904","3255599052","2016-04-01 01:10:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","「1910년 8월 29일 『국치(國恥)』 - 왕국은 주권을 상실하고 식민지로 전락한다.

1945년 8월 15일 『휴전(休戰)』 - 독립의 날은 찾아오지 않고,
세계를 불사른 전쟁은 승자도 패자도 없이 일단락된다.」","","","",""
"715707758419451904","","","2016-04-01 01:10:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","「해방 이후 4개국의 분할 통치를 받게 된 한국.
영국, 미국, 러시아, 중국이 통치권을 행사하는
4대 조계로 나뉘어진 서울은
 유례없는 범죄의 도시가 되었다」","","","",""
"715471859324563456","","","2016-03-31 09:32:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cocorip13: 던전디펜스 2권 배본되었다고 해서!  이번 2권 삽화 분량엔 파이몬이 등장 하지 않기 때문에 짤은  파이몬으로!  빨리 2권 받아봤으면 좋겠네요...^~^  인쇄상태가 궁금하다 https://t.co/wP7ybqjqnb","715434414579195904","456514363","2016-03-31 07:03:51 +0000","http://twitter.com/cocorip13/status/715434414579195904/photo/1,http://twitter.com/cocorip13/status/715434414579195904/photo/1"
"715470705396035584","715461813622538240","1696420058","2016-03-31 09:28:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sayanghwa 시를 알고 모르는 것과 상관없이, 적선하듯이 던져주는 태도는 기분 나쁠 수밖에요. 후원자로 나선 것도 아니고.","","","",""
"715468447166038016","715465583412662272","3255599052","2016-03-31 09:19:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","이것이 뜻하는 바가, 나이를 먹을수록 '다른 세계'를 경유하는 상상력에 대해 둔감해지는 것인지, 단순히 우리 세대와 앞선 세대의 어떤 세대적 차이일지는 좀 더 생각해볼 만한 문제겠네요.","","","",""
"715465583412662272","715464456575148033","3255599052","2016-03-31 09:07:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","성차 문제를 제외하고 '나이 문제'로만 본다면 어느 정도는 맞을지도 몰라요. 조아라의 젊은 층이 '로맨스 판타지'를 선호하는 것에 비해 로망띠끄의 중장년층은 '현대 로맨스'를 선호하기 때문에...","","","",""
"715464456575148033","","","2016-03-31 09:03:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","흥미롭지만, 실제로는 배경 문제네요.","","","",""
"715464326794981376","","","2016-03-31 09:02:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @nekizlab: RT) 이 지적은 좀 흥미롭군. 젊고 좋았던 시절의 '자기 몸을 긍정하는 태도'와 아예 '자신의 몸을 부정하는 태도'가 성차와 나이에서 온다?","715439178477998080","129115028","2016-03-31 07:22:47 +0000",""
"715464315659116544","","","2016-03-31 09:02:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MonsieurYomu: rt 문피아와 조아라의 주이용층 차이가 드러나는 부분이라 생각하는데 문피아엔 중년이상 남성 독자가 꽤 많으므로 회귀가 잘 먹힌다. 조아라는 회귀 이상으로 빙의가 많은데 20대 여성 사용층이 많기 때문 아닐까 싶음..…","715438085165551620","311362003","2016-03-31 07:18:26 +0000",""
"715463479428145152","","","2016-03-31 08:59:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","칼 슈미트에서 아감벤으로... 미쳐감...","","","",""
"715456021741699072","","","2016-03-31 08:29:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","와, 타입문에이스 전혀 사고픈 마음이 안 드네요. 그냥 FGO ACE2라고 하지...
https://t.co/yOLo9Bt3ZL","","","","http://www.kadokawa.co.jp/fair/typemoonace/"
"715205386186280960","715205187665657858","3255599052","2016-03-30 15:53:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","조선에서 상업을 보던 시각과 현대인들이 금융을 보는 시각이 비슷한 느낌이 드네요. 그렇다고 틀렸다는 것은 아니고...","","","",""
"715205187665657858","","","2016-03-30 15:52:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""인재들이 경제학자들이 부르는 “지대추구 행위자(rent seekers)”가 될 때 그 사회는 정체되고 발전하지 못한다. 사회적 부를 새로이 창출하는 대신, 지대추구 행위자들은 부를 어느 한 분야에서 다른 분야로 옮기는 일을 할 뿐이다""","","","",""
"715187418467401729","","3138788114","2016-03-30 14:42:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dvddog 이토갤 망했어요.","","","",""
"715098255764238336","","","2016-03-30 08:48:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","편의점 택배 200원씩 쌓이는 마일리지, 즉시 사용하지 않으면 누적이 안 되는 거였네요. 1000원 정도 날아간 듯.","","","",""
"715082388523454464","","","2016-03-30 07:45:01 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @esthlos: 소위 K문학, 혹은 개저씨문학론이 표현상의 선정성으로 인해 화제가 되고 있는 것 같은데(기사화될 가치가 있는지 심히 의문이 듦), 나는 김명인 선생의 의견에 대체로 동의. https://t.co/m8LfQ5A7Vo","715079572992053248","129538757","2016-03-30 07:33:50 +0000","http://twitter.com/esthlos/status/715079572992053248/photo/1,http://twitter.com/esthlos/status/715079572992053248/photo/1"
"715041701556068354","715041039438970880","3255599052","2016-03-30 05:03:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","이들에게 새로운 인식 프레임을 설정하는 건 불가능에 가까운 일...","","","",""
"715041039438970880","","","2016-03-30 05:00:43 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","루리웹 댓글 추천수 보니까 제목만 보고 깐 사람 13명 거기에 반박하는 사람 16명. 본문 안 읽는 사람 너무 많아요. 루리웹이나 네이버 뉴스는 이제 140자 제목만으로 기사 올리게 해야하는 거 아닐까 싶고.","","","",""
"715037319900839936","715036801342242817","3255599052","2016-03-30 04:45:56 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kanokara @dvddog 근데 후속트윗을 보니 '올바른 상식'을 PC의 의미로 쓰신 게 아니네요.","","","",""
"715036801342242817","715035497098297347","3138788114","2016-03-30 04:43:52 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@dvddog 당연히 그 개인의 인생에는 별 도움이 안 되죠. 특히 한국처럼 '교정압력'이 거의 주어지지 않는 사회에선 장동민처럼 '유쾌'하게 사는 게 재미도 있고 득도 보고...","","","",""
"715035446691160064","","","2016-03-30 04:38:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Laika_09: '화전민같은 인간관계'라는 좋은 표현을 들었다. 집단 소속이 끝났다. 인간관계를 불태운다.","584001839667871744","115087831","2015-04-03 14:37:43 +0000",""
"715026234925776899","","","2016-03-30 04:01:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","이스라엘판 괴벨스, 단어의 마술로 미디어를 속여라 https://t.co/wVvgtXBOy7","","","","http://newspeppermint.com/2014/07/27/israel/"
"714849171937710080","","","2016-03-29 16:18:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","연구논문 공유 플랫폼인데 괜찮네요.
https://t.co/JBiKbjDT7c","","","","http://www.academia.edu/19603694/_2012_%EB%8F%99%EB%AC%BC%ED%99%94%EB%90%9C_%EC%9D%B8%EB%AF%BC_%EC%9D%84_%EC%9C%84%ED%95%9C_%EC%97%90_%EC%9D%98%ED%95%9C_%EB%AC%B4%EC%9D%98%EC%8B%9D%EC%9D%98_%EB%AF%BC%EC%A3%BC%EC%A3%BC%EC%9D%98_%EC%9D%BC%EB%B0%98%EC%9D%98%EC%A7%80_2.0%EA%B3%BC_%EB%8D%94%EB%B6%88%EC%96%B4_%EC%A3%BC%EA%B6%8C_%EA%B0%9C%EB%85%90%EC%9D%84_%EC%96%B4%EB%96%BB%EA%B2%8C_%EB%8B%A4%EC%8B%9C_%EC%9D%BD%EC%9D%84_%EA%B2%83%EC%9D%B8%EA%B0%80"
